option_style,option_type,strike,underlying_price,maturity_days,T,r,sigma,option_price,IV,LTP,Bid,Ask,dt,n_paths
European,call,118.02857225639664,94.9816047538945,385,1.530989398169959,0.0638792635777333,0.1624074561769746,3.4394528473750654,0.1624074561769746,3.4394528473750654,3.4051,3.4738,0.003968253968253968,1000
European,call,83.70673233444734,83.75387990753055,307,1.2194646164422462,0.051491910516451016,0.24082528773069264,11.399702910922919,0.24082528773069264,11.399702910922919,11.2857,11.5137,0.003968253968253968,1000
European,call,85.04750416713122,117.76051728822485,394,1.5639522324434163,0.04313454683299705,0.1958876452279669,38.80399763761288,0.1958876452279669,38.80399763761288,38.416,39.192,0.003968253968253968,1000
European,call,100.363181113414,88.40649602158197,469,1.8612545780521903,0.03039503348892936,0.30107873012727104,11.9057364469883,0.30107873012727104,11.9057364469883,11.7867,12.0248,0.003968253968253968,1000
European,call,101.12876013480454,115.48200296191212,276,1.0970923374600394,0.02664441433008147,0.4432109748416611,29.402725132560988,0.4432109748416611,29.402725132560988,29.1087,29.6968,0.003968253968253968,1000
European,call,99.88266909337067,95.29908474902724,389,1.545230406170401,0.051482639451771665,0.21240897011010876,11.450664136518206,0.21240897011010876,11.450664136518206,11.3362,11.5652,0.003968253968253968,1000
European,call,119.58829047433835,99.72954242700379,158,0.6271249938500064,0.09670472521999665,0.13578536137627903,0.7435001210580587,0.13578536137627903,0.7435001210580587,0.7361,0.7509,0.003968253968253968,1000
European,call,106.38450997853708,108.32338800856768,480,1.9064746234808345,0.09818611662736872,0.18930506581324869,23.23663383482112,0.18930506581324869,23.23663383482112,23.0043,23.469,0.003968253968253968,1000
European,call,103.14775720843801,105.86636921861304,496,1.9710191495979914,0.07532695835867426,0.4612486383811235,34.06118879279176,0.4612486383811235,34.06118879279176,33.7206,34.4018,0.003968253968253968,1000
European,call,96.57716043076734,81.20283581008638,336,1.33422362380957,0.011930656059403138,0.3301888872530769,7.507476775206655,0.3301888872530769,7.507476775206655,7.4324,7.5826,0.003968253968253968,1000
European,call,106.56876160123382,101.30146804564662,138,0.5511547083602659,0.029194516045007453,0.15418453003895022,3.1347509822775663,0.15418453003895022,3.1347509822775663,3.1034,3.1661,0.003968253968253968,1000
European,call,110.52714332754654,111.8150761573262,451,1.7919485586571893,0.05667044177471873,0.359926562331229,26.669948809720488,0.359926562331229,26.669948809720488,26.4032,26.9366,0.003968253968253968,1000
European,call,88.66480455933839,116.66738923870695,272,1.0832103611983137,0.07031479544388486,0.3955927391092732,38.86917238678839,0.3955927391092732,38.86917238678839,38.4805,39.2579,0.003968253968253968,1000
European,call,94.37360681667127,88.7600404964232,207,0.823634279688993,0.05016160580393524,0.20775497657896336,5.874735737303581,0.20775497657896336,5.874735737303581,5.816,5.9335,0.003968253968253968,1000
European,call,104.87742533013659,84.77208140856678,445,1.7693227740151132,0.05066727452474729,0.3429695079491835,11.321392999880352,0.3429695079491835,11.321392999880352,11.2082,11.4346,0.003968253968253968,1000
European,call,84.97786020855118,107.3660185931433,153,0.6080226163277841,0.016973372197396853,0.27966720702119985,24.622797892138564,0.27966720702119985,24.622797892138564,24.3766,24.869,0.003968253968253968,1000
European,call,94.15915133823194,84.61205746079767,293,1.1644988352625103,0.0683427932654814,0.31366294445724296,10.393939216144943,0.31366294445724296,10.393939216144943,10.29,10.4979,0.003968253968253968,1000
European,call,91.96672599357136,115.45390522933712,257,1.0219354270899967,0.044034286002406525,0.16534270488719136,27.89758028416105,0.16534270488719136,27.89758028416105,27.6186,28.1766,0.003968253968253968,1000
European,call,114.49430159940421,109.18429660771635,167,0.6659659193661693,0.07291811556553322,0.43703711200995615,15.503510354376182,0.43703711200995615,15.503510354376182,15.3485,15.6585,0.003968253968253968,1000
