option_style,option_type,strike,underlying_price,maturity_days,T,r,sigma,option_price,IV,LTP,Bid,Ask,dt,n_paths
American,call,118.02857225639664,94.9816047538945,385,1.530989398169959,0.0638792635777333,0.1624074561769746,0.6226551077271483,0.1624074561769746,0.6226551077271483,0.6164,0.6289,0.003968253968253968,1000
American,call,83.70673233444734,83.75387990753055,307,1.2194646164422462,0.051491910516451016,0.24082528773069264,2.575355201872824,0.24082528773069264,2.575355201872824,2.5496,2.6011,0.003968253968253968,1000
American,call,85.04750416713122,117.76051728822485,394,1.5639522324434163,0.04313454683299705,0.1958876452279669,32.62951479331082,0.1958876452279669,32.62951479331082,32.3032,32.9558,0.003968253968253968,1000
American,call,100.363181113414,88.40649602158197,469,1.8612545780521903,0.03039503348892936,0.30107873012727104,1.2165784773672383,0.30107873012727104,1.2165784773672383,1.2044,1.2287,0.003968253968253968,1000
American,call,101.12876013480454,115.48200296191212,276,1.0970923374600394,0.02664441433008147,0.4432109748416611,14.500454743907786,0.4432109748416611,14.500454743907786,14.3555,14.6455,0.003968253968253968,1000
American,call,99.88266909337067,95.29908474902724,389,1.545230406170401,0.051482639451771665,0.21240897011010876,1.211958476739297,0.21240897011010876,1.211958476739297,1.1998,1.2241,0.003968253968253968,1000
American,call,119.58829047433835,99.72954242700379,158,0.6271249938500064,0.09670472521999665,0.13578536137627903,0.4113159864498711,0.13578536137627903,0.4113159864498711,0.4072,0.4154,0.003968253968253968,1000
American,call,106.38450997853708,108.32338800856768,480,1.9064746234808345,0.09818611662736872,0.18930506581324869,3.7491960658460655,0.18930506581324869,3.7491960658460655,3.7117,3.7867,0.003968253968253968,1000
American,call,103.14775720843801,105.86636921861304,496,1.9710191495979914,0.07532695835867426,0.4612486383811235,3.6538067687333977,0.4612486383811235,3.6538067687333977,3.6173,3.6903,0.003968253968253968,1000
American,call,96.57716043076734,81.20283581008638,336,1.33422362380957,0.011930656059403138,0.3301888872530769,1.11585026068187,0.3301888872530769,1.11585026068187,1.1047,1.127,0.003968253968253968,1000
American,call,106.56876160123382,101.30146804564662,138,0.5511547083602659,0.029194516045007453,0.15418453003895022,0.8068670165813723,0.15418453003895022,0.8068670165813723,0.7988,0.8149,0.003968253968253968,1000
American,call,110.52714332754654,111.8150761573262,451,1.7919485586571893,0.05667044177471873,0.359926562331229,3.1736121283899346,0.359926562331229,3.1736121283899346,3.1419,3.2053,0.003968253968253968,1000
American,call,88.66480455933839,116.66738923870695,272,1.0832103611983137,0.07031479544388486,0.3955927391092732,27.953927749581222,0.3955927391092732,27.953927749581222,27.6744,28.2335,0.003968253968253968,1000
American,call,94.37360681667127,88.7600404964232,207,0.823634279688993,0.05016160580393524,0.20775497657896336,0.990490111734869,0.20775497657896336,0.990490111734869,0.9806,1.0004,0.003968253968253968,1000
American,call,104.87742533013659,84.77208140856678,445,1.7693227740151132,0.05066727452474729,0.3429695079491835,1.2455616237522549,0.3429695079491835,1.2455616237522549,1.2331,1.258,0.003968253968253968,1000
American,call,84.97786020855118,107.3660185931433,153,0.6080226163277841,0.016973372197396853,0.27966720702119985,22.476512211575923,0.27966720702119985,22.476512211575923,22.2517,22.7013,0.003968253968253968,1000
American,call,94.15915133823194,84.61205746079767,293,1.1644988352625103,0.0683427932654814,0.31366294445724296,1.477586387717584,0.31366294445724296,1.477586387717584,1.4628,1.4924,0.003968253968253968,1000
American,call,91.96672599357136,115.45390522933712,257,1.0219354270899967,0.044034286002406525,0.16534270488719136,23.60753433876552,0.16534270488719136,23.60753433876552,23.3715,23.8436,0.003968253968253968,1000
American,call,114.49430159940421,109.18429660771635,167,0.6659659193661693,0.07291811556553322,0.43703711200995615,2.562874011753012,0.43703711200995615,2.562874011753012,2.5372,2.5885,0.003968253968253968,1000
American,call,82.20670075181269,115.26801287164602,385,1.5304564406530357,0.028710073199835907,0.28091210709494696,32.969038262671226,0.28091210709494696,32.969038262671226,32.6393,33.2987,0.003968253968253968,1000
American,call,87.46441281000632,80.73442311953465,495,1.9648549109561957,0.06251698377248835,0.30497193855896887,0.9769212444518505,0.30497193855896887,0.9769212444518505,0.9672,0.9867,0.003968253968253968,1000
American,call,93.04710711986479,98.6270068493349,239,0.951368709928191,0.022670480149520805,0.11161998911185017,5.627030044290091,0.11161998911185017,5.627030044290091,5.5708,5.6833,0.003968253968253968,1000
American,call,85.55907723272759,101.12451641181207,120,0.47700816499672866,0.01364239977776673,0.3544415245110259,15.594129280885678,0.3544415245110259,15.594129280885678,15.4382,15.7501,0.003968253968253968,1000
American,call,119.0966074213528,90.18086348372277,400,1.588819847054006,0.06773160046499205,0.47698484182821455,1.339364397698716,0.47698484182821455,1.339364397698716,1.326,1.3528,0.003968253968253968,1000
American,call,86.97117560412624,109.94192327266178,437,1.7376071799894162,0.04900996904595351,0.4769689335910696,22.927217593845274,0.4769689335910696,22.927217593845274,22.6979,23.1565,0.003968253968253968,1000
American,call,103.87806007301492,116.84158445475849,125,0.4969534734999773,0.06956448529724105,0.24515851703828082,12.997120579969836,0.24515851703828082,12.997120579969836,12.8671,13.1271,0.003968253968253968,1000
American,call,84.62410813540328,102.23001748820265,148,0.5910077090410149,0.05554834876099518,0.47898398913077883,17.6787634229923,0.47898398913077883,17.6787634229923,17.502,17.8556,0.003968253968253968,1000
American,call,80.75336631371256,93.615185055188,241,0.9588724179025659,0.07845784428095576,0.307610532066074,12.912143452414824,0.307610532066074,12.912143452414824,12.783,13.0413,0.003968253968253968,1000
American,call,105.62134596135844,91.7639425868114,131,0.5216670957622154,0.027308473157396596,0.24875451691552297,0.5412958571564748,0.24875451691552297,0.5412958571564748,0.5359,0.5467,0.003968253968253968,1000
American,call,112.58310976938013,106.1118715102101,149,0.5914520546902188,0.01134461293515821,0.3546517332162368,1.58435486506075,0.3546517332162368,1.58435486506075,1.5685,1.6002,0.003968253968253968,1000
